,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about miscellaneous.

In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?
A. Conferencing
B. Discipline-based inquiry
C. Self-Regulated Strategy Development
D. Introduction-Body-Conclusion strategy
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about miscellaneous.

Paper will burn at approximately what temperature in Fahrenheit?
A. 986 degrees
B. 2125 degrees
C. 3985 degrees
D. 451 degrees
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about miscellaneous.

The Apple iMac computer is available in all of the following colors except which?
A. Tangerine
B. Strawberry
C. Kiwi
D. Grape
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about miscellaneous.

What were the first names of the early American explorers Lewisand Clark?
A. Morgan and Mason
B. Meriwether and William
C. Cabot and Joseph
D. Meredith and George
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about miscellaneous.

A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?
A. Direct instruction
B. Literature circle
C. Guided reading
D. Read-aloud
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about miscellaneous.

What is varicella?
A. a fancy pasta
B. a type of opera
C. the chicken pox virus
D. ancient Roman poetry
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about miscellaneous.

Which of the following materials has a resistance that is LEAST affected by temperature changes?
A. Copper
B. Carbon
C. Germanium
D. Silicon
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about miscellaneous.

A second-year college student is usually called a what?
A. sophomore
B. senior
C. freshman
D. junior
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about miscellaneous.

In the film 'The Talented Mr Ripley' who plays Mr Ripley?
A. Jude Law
B. Matt Damon
C. Dustin Hoffman
D. Ben Affleck
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about miscellaneous.

A hard-edge painting is most likely to be characterized by
A. an even, solid paint application
B. blurry color mixed on the painting's surface
C. scratchy brush marks clearly separated
D. translucent multiple layers of paint
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about miscellaneous.

Who was president of the United States when Bill Clinton was born?
A. Herbert Hoover
B. Harry S Truman
C. Franklin Roosevelt
D. Dwight Eisenhower
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about miscellaneous.

Which of the following lists includes minerals only?
A. Granite, gabbro, diorite, quartz, feldspar
B. Gold, quartz, topaz, diamond, corundum
C. Gneiss, schist, phyllite, chlorite, mica
D. Coal, chert, limestone, dolomite, halite
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about miscellaneous.

Which of the following is a likely outcome of the development and use of genetically modified plants?
A. Reduced cost of plant seeds
B. New plant varieties being patented
C. Increased genetic diversity within a planted field
D. Less oversight and fewer regulations than for unmodified crops
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about miscellaneous.

A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?
A. Plot sequence
B. Point of view
C. Character development
D. Setting
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about miscellaneous.

Which movie popularized the phrase ""You talkin' to me?""
A. Ghost Busters
B. Taxi Driver
C. Joker
D. Groundhog Day
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about miscellaneous.

Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?
A. A grayish, milky fluid
B. Excessive fluid use
C. Excessive thinning of the fluid
D. A noisy relief valve
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about miscellaneous.

What animal represents the year 2000 on the Chinese calendar?
A. dragon
B. rabbit
C. tiger
D. monkey
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about miscellaneous.

Which of the following is part of a farm combine?
A. Beater
B. Conditioner
C. Seed plate
D. Furrow opener
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about miscellaneous.

According to legend in what country are you most likely to meet a leprechaun?
A. Ireland
B. Poland
C. Greenland
D. Scotland
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about miscellaneous.

During which of the following processes within the hydrologic cycle do water molecules absorb energy?
A. Formation of ice from water
B. Formation of a cloud from water vapor
C. Runoff along the land surface
D. Evaporation from the ocean surface
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about miscellaneous.

What French city is home to a famous international film festival each spring?
A. Cannes
B. Marseille
C. Dijon
D. Lyon
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about miscellaneous.

What do you call three consecutive strikes in bowling?
A. yahtzee
B. mulligan
C. turkey
D. ace
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about miscellaneous.

Which of the boys on the TV show 'My Three Sons' is adopted?
A. Mike
B. Ernie
C. Chip
D. Robbie
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about miscellaneous.

Which of these horror films spawned the most sequels?
A. Scream'
B. Jaws'
C. Halloween'
D. Friday the 13th'
Answer:",mmlu,mmlu-23,Label.NONE
