,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about business ethics.

Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.
A. Unsafe practices, Wants, Fear, Trivial
B. Unsafe practices, Distress, Fear, Serious
C. Safe practices, Wants, Jealousy, Trivial
D. Safe practices, Distress, Jealousy, Serious
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about business ethics.

______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws.
A. Employee rights
B. Employee rights
C. Employer duties
D. Employee duties
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about business ethics.

 ______ is an employee's preferred ratio between work-related and non-work-related activities which, due to intensification of work and technological shifts, has become a hotly contested issue in recent years.
A. Presenteeism
B. Absenteeism
C. Work-play balance
D. Work-life balance
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about business ethics.

 _______ can be a likened to their natural counterparts, comprising of a balanced network of interdependent organisms and their environments thus adding value to sustainability thinking due to the consideration of companies and industries as being bound together, and interdependent due to all kinds of resources and wastes.
A. Industrial supply loops
B. Industrial ecosystems
C. Ecological ecosystems
D. Corporate ecosystems
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about business ethics.

________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.
A. Power imbalance, Benefits, Hoodwinked
B. Power imbalance, Resources, Co-opted
C. Informational asymmetries, Benefits, Hoodwinked
D. Informational asymmetries, Resources, Co-opted
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about business ethics.

Although corporate profit maximization is not directly prescribed by major normative theories to which normative theory is it most similar?
A. hedonistic utilitarianism
B. preference utilitarianism
C. The Categorical Imperative
D. ethics of care
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about business ethics.

What does Milton Friedman believe to be the sole responsibility of business?
A. The only social responsibility of business is to its shareholders
B. Managers should act in ways that balance the interest of society and shareholders
C. The primary responsibility organizations have is to its employees
D. The primary responsibility organizations have is to its stakeholders
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about business ethics.

______ regulation goes further than the ______ that CSOs have with businesses, as it also concerns _______of such processes.
A. Legal, Interactions, Mechanics
B. Civil, Relations, Outcomes
C. Political, Interactions, Outcomes
D. Environmental, Relations, Mechanics
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about business ethics.

_______ working practices refer to working patterns which involve temporal, spatial and task related fluidity.
A. Dynamic
B. Fluid
C. Flexible
D. Modern
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about business ethics.

 What, according to Schnackenberg and Tomlinson (2014), are the three criteria which can be used to assess the quality of corporate transparency?
A. Breadth, Clarity, Accuracy
B. Disclosure, Detail, Accuracy
C. Disclosure, Clarity, Accuracy
D. Disclosure, Clarity, Efficiency
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about business ethics.

A corporation is ________ from its managers, employees, investors and customers. It therefore has _______ succession and also ________.
A. Indistinguishable, Perpetual, Does not own its own assets
B. Independent, Limited, Owns its own assets
C. Independent, Perpetual, Owns its own assets
D. Indistinguishable, Perpetual, Owns its own assets
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about business ethics.

The UK Public Services (Social Value) Act 2013 requires those procuring ______ to consider how they can secure wider _____, _____and _____ benefits.
A. Private services, social, economic and environmental
B. Public services, social, cultural and environmental
C. Private services, cultural, economic and environmental
D. Public services, social, economic and environmental
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about business ethics.

When the true cost an item is deliberately obscured by a company this is known as?
A. Predatory pricing
B. Deceptive pricing
C. Price fixing
D. Skimming
Answer:",mmlu,mmlu-12,Label.NONE
