,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about clinical knowledge.

The key attribute in successful marathon running is:
A. strength.
B. power.
C. stride length.
D. stamina.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about clinical knowledge.

Which of the following is the commonest cause of dementia in the UK?
A. Alzheimer's disease.
B. Cerebrovascular (stroke) disease.
C. Lewy body dementia.
D. HIV infection.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about clinical knowledge.

Which of the following is NOT a symptom of anaphylaxis?
A. Stridor.
B. Bradycardia.
C. Severe wheeze.
D. Rash.
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about clinical knowledge.

In what situation are closed pouches applied?
A. The patient has a semi-formed or liquid output.
B. The patient has a colostomy.
C. In the immediate post-operative period.
D. The patient has a urostomy.
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about clinical knowledge.

With an increasing number of sprints the:
A. anaerobic contribution progressively increases.
B. pH of the muscle falls below 6.0.
C. blood glucose concentration falls below 3 mmol/L.
D. relative contribution of aerobic metabolism increases.
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about clinical knowledge.

Which of the following is true in diplopia?
A. Diplopia can never occur if one eye is covered
B. The outer image is always the false image
C. A fourth nerve palsy occurs when the patient looks upwards
D. A sixth nerve palsy causes a divergent squint
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about clinical knowledge.

Sodium bicarbonate ingestion improves middle distance running performance by:
A. elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
B. reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
C. elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.
D. elevating the pre-exercise muscle pH.
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about clinical knowledge.

Codons are composed of:
A. triplet sequences of nucleotide bases in mRNA or DNA .
B. quadruplet sequences of nucleotide bases in mRNA or DNA.
C. triplet sequences of amino acids in polypeptide chains.
D. triplet sequences of deoxyribose sugars in DNA.
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about clinical knowledge.

Fatty acids are transported into the mitochondria bound to:
A. thiokinase.
B. coenzyme A (CoA).
C. acetyl-CoA.
D. carnitine.
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about clinical knowledge.

Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?
A. Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).
B. Blood type B (rhesus positive) and blood type O (rhesus positive).
C. Blood type B (rhesus negative) and blood type O (rhesus negative).
D. Blood type B (rhesus negative) only.
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about clinical knowledge.

Which of the following is true of a lower motor neurone lesion in the arm?
A. It leads to increased tone in the arm (hypertonia)
B. Fasciculations are never seen
C. The reflexes are brisk
D. An ulna nerve palsy is an example of a lower motor neurone lesion
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about clinical knowledge.

Which of the following statements is false?
A. Ammonia is produced in repeated high intensity exercise.
B. Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.
C. Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.
D. With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.
Answer:",mmlu,mmlu-11,Label.NONE
