,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about computer security.

Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?
1. An attacker replaying bytes that a client sent earlier.
2. An attacker impersonating the server.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about computer security.

MIT’s Kerberos KDC server has a maximum ticket lifetime of 24 hours (for most user principals). What ensures that an expired Kerberos ticket can no longer be used?
A. The Kerberos server (KDC) refuses to establish new connections between clients and servers for expired tickets.
B. When a client connects to a server, the server sets a 24-hour timer to terminate the connection, which ensures a client cannot remain connected past the ticket’s maximum lifetime.
C. When a client connects to a server, the server compares the ticket’s expiration time to the server’s current clock, and refuses to authenticate the user if the ticket expiration time is in the past.
D. When a client connects to a server, the server sends a query to the KDC to check if the ticket is still valid with respect to the KDC’s clock, and refuses to authenticate the user if the KDC reports that the ticket is expired.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about computer security.

In Message Condentiality, the transmitted message must make sense to only intended
A. Receiver
B. Sender
C. Modulor
D. Translator
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about computer security.

Which of the following is a remote Trojan?
A. Troya
B. DaCryptic
C. BankerA
D. Game-Troj
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about computer security.

______________ is a widespread app’s coding mistake made by developers which could be exploited by an attacker for gaining access or malfunctioning your system.
A. Memory leakage
B. Buffer-overrun
C. Less processing power
D. Inefficient programming
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about computer security.

Consider the paper Native Client: A Sandbox for Portable, Untrusted x86 Native Code by Yee et al. Ben Bitdiddle notes that NaCl uses Intel x86 segmentation to ensure that the sandboxed module does not read or write memory outside its own data area, and does not execute instructions outside its own code. Ben thinks that with these restrictions alone, executing the sandboxed module must be safe; that is, he thinks validation is not needed. Ben is wrong. Circle the types of x86 machine instructions that the validator always forbids in sandboxed code. Please ignore trampoline and springboard code.
A. all instructions that modify segment state
B. all loads or stores to addresses that are not 0 mod 32
C. all indirect loads or stores (via an address in a register or variable)
D. all indirect jumps (via an address in a register or variable)
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about computer security.

____________ is also a part of darknet that is employed for transferring files anonymously.
A. Freenet
B. ARPANET
C. Stuxnet
D. Internet
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about computer security.

Why apps developed in languages like C, C++ is prone to Buffer-overflow?
A. No string boundary checks in predefined functions
B. No storage check in the external memory
C. No processing power check
D. No database check
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about computer security.

Man in the middle attack can endanger the security of Diffie Hellman method if two parties are not
A. Joined
B. Authenticated
C. Submitted
D. Shared
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about computer security.

An integer overflow occurs when
A. an integer expression's result ""wraps around""; instead of creating a very large number, a very small (or negative) number ends up getting created
B. an integer is used as if it was a pointer
C. an integer is used to access a buffer outside of the buffer's bounds
D. there is no more space to hold integers in the program
Answer:",mmlu,mmlu-9,Label.NONE
