,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about conceptual physics.

A completely submerged object always displaces its own
A. weight of fluid.
B. volume of fluid.
C. density of fluid.
D. All of these.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about conceptual physics.

When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light
A. totally internally reflects
B. passes into the air above
C. is absorbed
D. None of these
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about conceptual physics.

According to four-dimensional geometry, the angles of a triangle add to 180°
A. always.
B. sometimes.
C. never.
D. on planet Earth only.
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about conceptual physics.

A voltage will be induced in a wire loop when the magnetic field within that loop
A. changes
B. aligns with the electric field
C. is at right angles to the electric field
D. converts to magnetic energy
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about conceptual physics.

Among these colors, the one that has the most energy per photon is
A. red
B. yellow-green
C. blue
D. violet
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about conceptual physics.

According to general relativity,
A. mass distorts spacetime.
B. gravity affects clocks.
C. light can’t escape from a black hole.
D. All of these.
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about conceptual physics.

A step-up transformer in an electric circuit can step up
A. voltage
B. energy
C. Both of these
D. Neither of these
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about conceptual physics.

Spectral lines of the elements are
A. chaotic
B. ordered
C. positioned by amplitude
D. in phase
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about conceptual physics.

A wave transfers
A. amplitude
B. wavelength
C. frequency
D. energy
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about conceptual physics.

Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore
A. the same
B. opposite
C. Either of these
D. Need more information
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about conceptual physics.

The surface of planet Earth loses energy to outer space due mostly to
A. conduction
B. convection
C. radiation
D. radioactivity
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about conceptual physics.

In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is
A. half, 1 A
B. 2 A
C. Depends on which lamp is closer to the battery
D. Not enough information to say
Answer:",mmlu,mmlu-11,Label.MATH
12,"The following are multiple choice questions (with answers) about conceptual physics.

As a blinking light source approaching you gains speed, you see the frequency of flashes
A. increase.
B. decrease.
C. remain unchanged.
D. None of these.
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about conceptual physics.

In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is
A. 2mg
B. mg
C. mg/2
D. mg/4
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about conceptual physics.

Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is
A. less.
B. equal.
C. greater.
D. none because it sinks.
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about conceptual physics.

When you look at the red petals of a rose the color light you're seeing is
A. red.
B. green.
C. white minus red.
D. a mixture of green and yellow.
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about conceptual physics.

Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased
A. speed
B. frequency
C. wavelength
D. All of these
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about conceptual physics.

When you squeeze an air-filled party balloon, you increase its
A. volume
B. mass
C. weight
D. density
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about conceptual physics.

Polarization is a property of
A. transverse waves
B. longitudinal waves
C. all waves
D. None of these
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about conceptual physics.

In a vacuum, an object has no
A. buoyant force
B. mass
C. weight
D. All of these
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about conceptual physics.

Temperature is generally proportional to a substance’s
A. thermal energy.
B. vibrational kinetic energy.
C. average translational kinetic energy.
D. rotational kinetic energy.
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about conceptual physics.

In a hydraulic press operation, the output piston cannot
A. move farther than the input piston
B. exceed the force input
C. exceed the input piston’s speed
D. produce increased energy
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about conceptual physics.

When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum
A. decreases
B. increases
C. remains unchanged
D. may increase or decrease
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about conceptual physics.

According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces
A. half the bend.
B. the same bend if the branch doesn’t break.
C. twice the bend.
D. 4 times the bend.
Answer:",mmlu,mmlu-23,Label.MATH
24,"The following are multiple choice questions (with answers) about conceptual physics.

When an increase in speed doubles the kinetic energy of a moving body its momentum
A. increases but less than doubles
B. doubles
C. more than doubles
D. depends on factors not stated
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about conceptual physics.

Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?
A. 1 minute.
B. 2 minutes.
C. 5 minutes.
D. 9 minutes.
Answer:",mmlu,mmlu-25,Label.MATH
26,"The following are multiple choice questions (with answers) about conceptual physics.

If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will
A. move at a constant speed in a straight line
B. accelerate at a constant rate in a straight line
C. come to rest
D. increase its amount of inertia
Answer:",mmlu,mmlu-26,Label.NONE
27,"The following are multiple choice questions (with answers) about conceptual physics.

Relativity equations for time, length, and momentum hold true for
A. everyday low speeds.
B. relativistic speeds.
C. Both of these.
D. Neither of these.
Answer:",mmlu,mmlu-27,Label.NONE
28,"The following are multiple choice questions (with answers) about conceptual physics.

Put a saucer of water on your table. A process that then occurs is
A. evaporation
B. condensation
C. Both
D. Neither
Answer:",mmlu,mmlu-28,Label.NONE
29,"The following are multiple choice questions (with answers) about conceptual physics.

A barometer that uses water instead of mercury will be
A. shorter
B. taller
C. equal in height
D. inoperable
Answer:",mmlu,mmlu-29,Label.NONE
