,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about econometrics.

What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?
A. ADF is a single equation approach to unit root testing while PP is a systems approach
B. PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test
C. The PP test incorporates an automatic correction for autocorrelated residuals in the test regression
D. PP tests have good power in small samples whereas DF tests do not.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about econometrics.

If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?
A. It would rise more quickly for negative disturbances than for positive ones of the same magnitude
B. It would be symmetrical about zero
C. It would rise less quickly for negative disturbances than for positive ones of the same magnitude
D. It would be zero for all positive disturbances
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about econometrics.

Which of the following statements is false concerning the linear probability model?
A. There is nothing in the model to ensure that the estimated probabilities lie between zero and one
B. Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one
C. The error terms will be heteroscedastic and not normally distributed
D. The model is much harder to estimate than a standard regression model with a continuous dependent variable
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about econometrics.

Which of the following statements concerning the regression population and sample is FALSE?
A. The population is the total collection of all items of interest
B. The population can be infinite
C. In theory, the sample could be larger than the population
D. A random sample is one where each individual item from the population is equally likely to be drawn.
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about econometrics.

Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?
A. Asymptotically, the values of the two test statistics will be equal
B. The Q test has better small-sample properties than the Q*
C. The Q test is sometimes over-sized for small samples
D. As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about econometrics.

A parsimonious model is one that
A. Includes too many variables
B. Includes as few variables as possible to explain the data
C. Is a well-specified model
D. Is a mis-specified model
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about econometrics.

Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?
A. They can be interpreted as continuously compounded changes in the prices
B. They can be added over time to give returns for longer time periods
C. They can be added across a portfolio of assets to give portfolio returns
D. They are usually fat-tailed
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about econometrics.

Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about econometrics.

Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?
A. Less than -1
B. Between -1 and 0
C. Between 0 and 1
D. Bigger than 1
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about econometrics.

Under which of the following situations would bootstrapping be preferred to pure simulation?

i) If it is desired that the distributional properties of the data in the experiment

are the same as those of some actual data


ii) If it is desired that the distributional properties of the data in the experiment

are known exactly


iii) If the distributional properties of the actual data are unknown


iv) If the sample of actual data available is very small
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iv) only
D. (i), (ii), (iii), and (iv)
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about econometrics.

Which of the following may be consequences of one or more of the CLRM assumptions being violated?

i) The coefficient estimates are not optimal


ii) The standard error estimates are not optimal


iii) The distributions assumed for the test statistics are inappropriate


iv) Conclusions regarding the strength of relationships between the dependent

and independent variables may be invalid.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about econometrics.

Which of the following statements is true concerning forecasting in econometrics?
A. Forecasts can only be made for time-series data
B. Mis-specified models are certain to produce inaccurate forecasts
C. Structural forecasts are simpler to produce than those from time series models
D. In-sample forecasting ability is a poor test of model adequacy
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about econometrics.

The pacf is necessary for distinguishing between
A. An AR and an MA model
B. An AR and an ARMA model
C. An MA and an ARMA model
D. Different models from within the ARMA family
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about econometrics.

Negative residual autocorrelation is indicated by which one of the following?
A. A cyclical pattern in the residuals
B. An alternating pattern in the residuals
C. A complete randomness in the residuals
D. Residuals that are all close to zero
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about econometrics.

Which of the following statements are true concerning a comparison between ARCH(q) and GARCH(1,1) models?

i) The ARCH(q) model is likely to be the more parsimonious


ii) The ARCH(q) model is the more likely to violate non-negativity constraints


iii) The ARCH(q) model can allow for an infinite number of previous lags of squared

returns to affect the current conditional variance


iv) The GARCH(1,1) model will usually be sufficient to capture all of the dependence

in the conditional variance
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer:",mmlu,mmlu-14,Label.NONE
