,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about electrical engineering.

Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because
A. It loads the circuit moderately.
B. It loads the circuit to maximum extent.
C. It uses centre zero galvanometer instead of voltmeter.
D. It does not load the circuit at all.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about electrical engineering.

Which of these sets of logic gates are designated as universal gates?
A. NOR, NAND.
B. XOR, NOR, NAND.
C. OR, NOT, AND.
D. NOR, NAND, XNOR.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about electrical engineering.

A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is
A. 30° to 150°.
B. 30° to 180°.
C. 60° to 120°.
D. 60° to 180°.
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about electrical engineering.

A box which tells the effect of inputs on control sub system is known as
A. Data Box.
B. Logical box.
C. Decision box.
D. State box.
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about electrical engineering.

Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is
A. same as that produced by one plate.
B. double the field produced by one plate.
C. dependent on coordinates of field points.
D. zero.
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about electrical engineering.

The resistance in the circuit of the moving coil of a dynamometer wattmeter should be
A. Low.
B. Very low.
C. High.
D. Almost zero.
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about electrical engineering.

The following are the necessary requirements of an oscillator
A. Amplitude stability
B. Frequency stability
C. Power stability
D. Both A and B
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about electrical engineering.

The normal voltage used in directional heating is
A. 1.5 KV.
B. 15 KV.
C. 33 KV.
D. 66 KV.
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about electrical engineering.

LC oscillators are used for produce a waveform with frequency ranging from
A. 1MHz to 500 MHz
B. 100 KHz to 500 MHz
C. 1 KHz to 1 MHz
D. 1MHz to 100 GHz
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about electrical engineering.

A working diode must have
A. High resistance when forward or reverse biased
B. Low resistance when forward biased, while high resistance when reverse bias
C. High resistance when forward biased, while low resistance when reverse bias
D. Low resistance when forward or reverse biased
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about electrical engineering.

What is the name of the fluorescent material that gives red colour fluorescence?
A. Zinc silicate.
B. Calcium silicate.
C. Zinc sulphide.
D. Magnesium silicate.
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about electrical engineering.

How many bits are required to store one BCD digit ?
A. 1
B. 2
C. 3
D. 4
Answer:",mmlu,mmlu-11,Label.MATH
12,"The following are multiple choice questions (with answers) about electrical engineering.

Commutator in DC generator is used for
A. collecting of current
B. reduce losses
C. increase efficiency
D. convert AC armature current in to DC
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about electrical engineering.

1 F is theoretically equal to
A. 1 ohm of resistance
B. ratio of 1 V to 1 C
C. ratio of 1 C to 1 V
D. none of these
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about electrical engineering.

How many entries will be in the truth table of a 3 input NAND gate ?
A. 3
B. 6
C. 8
D. 9
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about electrical engineering.

In decimal number system what is MSD
A. First digit from left to right
B. First digit from right to left
C. Middle digit
D. Mean of all digits
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about electrical engineering.

In Digital Logic Designs, GAL is abbreviated as
A. General Advance Logic
B. General Array Logic
C. Generic Advance Logic
D. Generic Array Logic
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about electrical engineering.

Inintel 8085A microprocessor ALE signal is made high to
A. Enable the data bus to be used as low order address bus
B. To latch data D0-D7 from data bus
C. To disable data bus
D. To achieve all the functions listed above
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about electrical engineering.

For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?
A. 111.9 ohm
B. 11.19 ohm
C. 108 ohm
D. 115 ohm
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about electrical engineering.

The concept of V/f control of inverters driving induction motors resuls in
A. constant torque operation
B. speed reversal
C. reduced magnetic loss
D. hormonic elimination
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about electrical engineering.

The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is
A. 0.015 joule.
B. 0.15 joule.
C. 0.015 joule.
D. 1.15 joule.
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about electrical engineering.

While operating on variable frequency supplies, the AC motor requires variable voltage in order to
A. protect the insulation.
B. avoid effect of saturation.
C. improve the capabilities of the inverter.
D. protect thyristor from dV / dt.
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about electrical engineering.

Which of the following windings are necessary in case of all dc machines?
A. closed winding
B. lap winding
C. wave winding
D. open type winding
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about electrical engineering.

Relaxation Voltage controlled oscillators are used to generate
A. Sinusoidal wave
B. Triangular wave
C. Sawtooth wave
D. Both B and C
Answer:",mmlu,mmlu-23,Label.NONE
24,"The following are multiple choice questions (with answers) about electrical engineering.

The supply frequency usually employed for high frequency eddy current heating is
A. 1 KHz.
B. 5 KHz.
C. 10 MHz.
D. 10 KHz to 400 KHz.
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about electrical engineering.

In the toggle mode a JK flip-flop has
A. J = 0, K = 0.
B. J = 1, K = 1.
C. J = 0, K = 1.
D. J = 1, K = 0.
Answer:",mmlu,mmlu-25,Label.NONE
26,"The following are multiple choice questions (with answers) about electrical engineering.

Electric drive is becoming more and more popular because
A. all of below.
B. it provide smooth and easy control.
C. it is cheaper in cost.
D. it is simple and reliable.
Answer:",mmlu,mmlu-26,Label.NONE
27,"The following are multiple choice questions (with answers) about electrical engineering.

A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is
A. 0.32.
B. 0.67.
C. 0.45.
D. 0.27.
Answer:",mmlu,mmlu-27,Label.NONE
28,"The following are multiple choice questions (with answers) about electrical engineering.

A Binary number system has how many digits.
A. 0
B. 1
C. 2
D. 10
Answer:",mmlu,mmlu-28,Label.MATH
29,"The following are multiple choice questions (with answers) about electrical engineering.

Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is
A. LC.
B. RL.
C. RC.
D. Any of the above.
Answer:",mmlu,mmlu-29,Label.NONE
30,"The following are multiple choice questions (with answers) about electrical engineering.

Advantages of open loop control system is/are
A. simple and economical.
B. accurate.
C. reliable.
D. all of the above.
Answer:",mmlu,mmlu-30,Label.NONE
31,"The following are multiple choice questions (with answers) about electrical engineering.

The voltage induced in an inductor is represented as,
A. product of its inductance and current through it.
B. ratio of its inductance to current through it.
C. ratio of current through it to its inductance.
D. product of its inductance and rate of change of current through it.
Answer:",mmlu,mmlu-31,Label.NONE
32,"The following are multiple choice questions (with answers) about electrical engineering.

If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits
A. 1
B. 2
C. 4
D. 8
Answer:",mmlu,mmlu-32,Label.MATH
33,"The following are multiple choice questions (with answers) about electrical engineering.

Induction heating takes place in
A. conducting but non-magnetic materials.
B. conducting materials which may be either magnetic or non-magentic materials.
C. insulating materials.
D. conducting and magnetic materials.
Answer:",mmlu,mmlu-33,Label.NONE
34,"The following are multiple choice questions (with answers) about electrical engineering.

In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch
A. 10
B. 100
C. 50
D. 1
Answer:",mmlu,mmlu-34,Label.NONE
35,"The following are multiple choice questions (with answers) about electrical engineering.

Magnetic flux has the unit of
A. Newton
B. Ampere turn
C. Weber
D. Tesla
Answer:",mmlu,mmlu-35,Label.NONE
36,"The following are multiple choice questions (with answers) about electrical engineering.

In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem
A. Reciprocity theorem
B. Thevinin's theorem
C. Norton's theorem
D. Compensation theorem
Answer:",mmlu,mmlu-36,Label.NONE
37,"The following are multiple choice questions (with answers) about electrical engineering.

A D-flip-flop is said to be transparent when
A. the output is LOW
B. the output is HIGH
C. the output follows clock
D. the output follow input
Answer:",mmlu,mmlu-37,Label.NONE
38,"The following are multiple choice questions (with answers) about electrical engineering.

A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be
A. 500 Hz.
B. 250 Hz.
C. 400 Hz.
D. 625 Hz.
Answer:",mmlu,mmlu-38,Label.MATH
39,"The following are multiple choice questions (with answers) about electrical engineering.

Speed control by variation of field flux results in
A. constant power drive.
B. constant torque drive.
C. variable power drive.
D. none of the above.
Answer:",mmlu,mmlu-39,Label.NONE
40,"The following are multiple choice questions (with answers) about electrical engineering.

Which of the following memories uses one transistor and one capacitor as basic memory unit
A. SRAM
B. DRAM
C. Both SRAM and DRAM
D. nan
Answer:",mmlu,mmlu-40,Label.NONE
41,"The following are multiple choice questions (with answers) about electrical engineering.

What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?
A. 2
B. 4
C. 5
D. 6
Answer:",mmlu,mmlu-41,Label.MATH
42,"The following are multiple choice questions (with answers) about electrical engineering.

The output of the system has an effect upon the input quantity, then the system is a
A. open loop control system.
B. closed loop control system.
C. either A or B.
D. none of the above.
Answer:",mmlu,mmlu-42,Label.NONE
43,"The following are multiple choice questions (with answers) about electrical engineering.

A sinusoidal signal is analog signal, because
A. it can have a number of values between the negative and positive peaks
B. it is negative for one half cycle
C. it is positive for one half cycle
D. it has positive as well as negative values
Answer:",mmlu,mmlu-43,Label.NONE
44,"The following are multiple choice questions (with answers) about electrical engineering.

FM stands for
A. frequent modulation.
B. frequency modulation.
C. frequency moderator.
D. frequent moderator.
Answer:",mmlu,mmlu-44,Label.NONE
45,"The following are multiple choice questions (with answers) about electrical engineering.

Stack is also known as
A. FIFO memory
B. Flash memory
C. LIFO memory
D. LILO memory
Answer:",mmlu,mmlu-45,Label.NONE
46,"The following are multiple choice questions (with answers) about electrical engineering.

In Ward-Leonard system, the lower limit of the speed imposed by
A. Field resistance.
B. Armature resistance.
C. Residual magnetism of the generator.
D. None of above.
Answer:",mmlu,mmlu-46,Label.NONE
47,"The following are multiple choice questions (with answers) about electrical engineering.

Colpitts oscillator is also called as
A. Tank circuit oscillator
B. LC oscillator
C. Resonant circuit oscillator
D. All of the above
Answer:",mmlu,mmlu-47,Label.NONE
48,"The following are multiple choice questions (with answers) about electrical engineering.

An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be
A. 1500 A.
B. 6000 A.
C. 2121.32 A.
D. 4242.64 A.
Answer:",mmlu,mmlu-48,Label.MATH
