,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about high school biology.

Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?
A. a deletion of a single nucleotide
B. a deletion of a nucleotide triplet
C. a single nucleotide substitution of the nucleotide occupying the first codon position
D. a single nucleotide substitution of the nucleotide occupying the third codon position
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about high school biology.

The energy given up by electrons as they move through the electron transport chain is used to
A. break down glucose
B. make glucose
C. produce ATP
D. make NADH
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about high school biology.

During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT
A. oxygen
B. hydrogen
C. ammonia
D. methane
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about high school biology.

Convergent evolution is best exemplified by which of the following?
A. The pectoral fins of fish and the front legs of cats
B. The presence of a notochord in all chordate embryos
C. The wings of an insect and the wings of a bird
D. The leaves of an oak tree and the spines of a cactus
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about high school biology.

Which of the following would most likely provide examples of mitotic cell divisions?
A. cross section of muscle tissue
B. cross section of an anther (site of pollen production in a flower)
C. longitudinal section of a shoot tip
D. cross section of a leaf
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about high school biology.

Invertebrate immune systems possess which of the following?
A. Cytotoxic T-lymphocytes
B. Phagocytes
C. B-cells
D. Helper T-cells
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about high school biology.

Two unrelated species evolve in a way that makes them more similar.
A. Divergent evolution
B. Convergent evolution
C. Parallel evolution
D. Coevolution
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about high school biology.

Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems?
A. The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires.
B. The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species.
C. The fires drive off herbivores whose plant-based diets reduce the amount of vegetation.
D. The fires dry out the soil and decrease the chance of flooding after heavy rains.
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about high school biology.

In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations?
A. Selection for drab coloration of the algae-eaters
B. Selection for nocturnal algae-eaters (active only at night)
C. Selection for larger female algae-eaters, bearing broods composed of more, and larger, young
D. Selection for algae-eaters that become sexually mature at smaller overall body sizes
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about high school biology.

A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery?
A. Helper T cells
B. Cytotoxic T cells
C. Memory cells
D. Plasma cells
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about high school biology.

The same gene that causes various coat patterns in wild and domesticated cats also causes the cross-eyed condition in these cats, the cross-eyed condition being slightly maladaptive. In a hypothetical environment, the coat pattern that is associated with crossed eyes is highly adaptive, with the result that both the coat pattern and the cross-eyed condition increase in a feline population over time. Which statement is supported by these observations?
A. Evolution is progressive and tends toward a more perfect population.
B. Phenotype is often the result of compromise.
C. Natural selection reduces the frequency of maladaptive genes in populations over the course of time.
D. Polygenic inheritance is generally maladaptive, and should become less common in future generations.
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about high school biology.

Which of the following statements is correct?
A. Water flows from hypertonic to hypotonic.
B. Germinating seeds use less oxygen than do nongerminating seeds.
C. The rate of transpiration decreases with an increase in air movement.
D. Smaller DNA fragments migrate more rapidly than do larger DNA fragments on gel electrophoresis.
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about high school biology.

A gas phase is generally absent from which of the following biogeochemical cycles?
A. Water
B. Carbon
C. Sulfur
D. Phosphorus
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about high school biology.

Which of the following is a property that is shared by Zika fever‚ West Nile fever‚ and malaria?
A. The diseases are caused by viruses.
B. The diseases occur only in individuals who visit or live in tropical countries.
C. The pathogens that cause the diseases have developed resistance to antibiotics.
D. The pathogens that cause the diseases are primarily transmitted by the bite of an infected mosquito.
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about high school biology.

If the HMS Beagle had completely bypassed the Galapagos Islands, Darwin would have had a much poorer understanding of the
A. relative stability of a well-adapted population's numbers over many generations.
B. ability of populations to undergo modification as they adapt to a particular environment.
C. tendency of organisms to produce the exact number of offspring that the environment can support.
D. unlimited resources that support population growth in most natural environments.
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about high school biology.

Which of the following statements about lipids is correct?
A. Unsaturated fatty acids are linked to heart disease.
B. Lipids make up most cell surface receptors.
C. Phospholipids are water soluble.
D. Steroids are lipids that consist of glycerol and fatty acids.
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about high school biology.

All of the following are examples of connective tissue EXCEPT
A. ligaments
B. muscle
C. blood
D. cartilage
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about high school biology.

The light reactions of photosynthesis supply the Calvin cycle with which of the following?
A. The light reactions provide oxygen for the light-independent reactions.
B. ATP and NADPH provide the power and raw materials for the Calvin cycle.
C. Water entering the plant through the roots provides hydrogen directly to the Calvin cycle.
D. CO2 released by the light-dependent reactions provides the raw material for the Calvin cycle.
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about high school biology.

When the first tiny prokaryotic cell took up residence inside a larger prokaryotic cell, it heralded the advent of the eukaryotic cell and led to an explosion of new life on Earth. Since then, most cells on Earth have internal organelles. Which of the following best summarizes an advantage of having internal membranes and organelles?
A. DNA can reproduce more efficiently.
B. Even though prokaryotes do not have mitochondria, they contain structures that carry out the same function.
C. Organelles separate specific reactions in the cell and increase metabolic efficiency.
D. Compartmentalization enables prokaryotes to reproduce more quickly.
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about high school biology.

Which of the following is correct about vaccination?
A. It increases the number of different receptors that recognize a particular pathogen.
B. It increases the number of different macrophages specific to the antigen.
C. It increases the number of epitopes that the immune system can recognize.
D. It increases the number of lymphocytes with receptors that can recognize and bind to the antigen.
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about high school biology.

The calypso orchid, Calypso bulbosa, grows in close association with mycorrhizae fungi. The fungi penetrate the roots of the flower and take advantage of the plant's food resources. The fungi concentrate rare minerals, such as phosphates, in the roots and make them readily accessible to the orchid. This situation is an example of
A. parasitism
B. commensalism
C. mutualism
D. endosymbiosis
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about high school biology.

Mules are relatively long-lived and hardy organisms that cannot, generally speaking, perform successful meiosis. Consequently, which statement about mules is true?
A. They have a relative evolutionary fitness of zero.
B. Their offspring have less genetic variation than the parents.
C. Mutations cannot occur in their genomes.
D. If crossing-over happens in mules, then it must be limited to prophase of mitosis.
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about high school biology.

ADH is a hormone secreted by the kidneys that reduces the amount of water excreted in the urine. ADH is released in times of dehydration. This is an example of
A. innate behavior.
B. maintaining homeostasis.
C. failure to respond to the environment.
D. positive feedback.
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about high school biology.

All of the following statements are true EXCEPT
A. thyroxine increases the rate of metabolism
B. insulin decreases storage of glycogen
C. vasopressin stimulates water reabsorption in the kidney
D. epinephrine increases blood sugar levels and heart rate
Answer:",mmlu,mmlu-23,Label.NONE
24,"The following are multiple choice questions (with answers) about high school biology.

Which of the following statements best describes what a Barr body is and its significance?
A. It is an inactivated Y chromosome and results in a man being sterile.
B. It is an inactivated Y chromosome, and the person who has it appears female.
C. It is an inactivated X chromosome and results in females with half their cells having one X inactivated and the other half of their cells having the other X inactivated.
D. It is an inactivated X chromosome and results in females who are sterile.
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about high school biology.

A heterotroph
A. obtains its energy from sunlight, harnessed by pigments
B. obtains its energy by oxidizing organic molecules
C. makes organic molecules from CO2
D. obtains its energy by consuming exclusively autotrophs
Answer:",mmlu,mmlu-25,Label.NONE
26,"The following are multiple choice questions (with answers) about high school biology.

Which of the following reactions occurs in the forward direction during glycolysis but in the reverse direction during fermentation?
A. pyruvate → lactate
B. pyruvate → ethanol
C. NAD+ + H+ + 2e- → NADH
D. ADP + P → ATP
Answer:",mmlu,mmlu-26,Label.NONE
