,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about high school geography.

The tendency for a population to continue to grow long after replacement fertility has been achieved is called
A. zero population growth.
B. rapid growth rate.
C. homeostatic plateau.
D. demographic momentum.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about high school geography.

The tendency for migration to decrease with distance is called
A. push factors.
B. pull factors.
C. distance decay.
D. migration selectivity.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about high school geography.

Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?
A. First
B. Second
C. Third
D. Fourth
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about high school geography.

Which of the following statements is TRUE concerning women in the labor force?
A. Most women work in agriculture
B. The percentage of women economically active in the labor force declined worldwide
C. The percentage of women in the total labor force declined
D. Women spend more hours per day working than men in all regions except Anglo America and Australia
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about high school geography.

All the following factors can be considered pull factors of migration EXCEPT
A. safety.
B. better climate.
C. better schools.
D. overcrowding.
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about high school geography.

Which of the following countries does NOT have a well-known example of a relict boundary?
A. Vietnam
B. United Kingdom
C. Germany
D. Bolivia
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about high school geography.

Which form of migration below are farm workers from another country most likely to be practicing during the year?
A. Chain migration
B. Cluster migration
C. Circular migration
D. International migration
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about high school geography.

Which of the following is a centrifugal force in a country?
A. Religious differences
B. A national holiday
C. An attack by another country
D. A charismatic national leader
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about high school geography.

Early settlements and high population density along coastlines and rivers are best attributed to which of the following?
A. Mediterranean climate
B. Limited forest cover
C. Growth of manufacturing
D. Access to trade routes
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about high school geography.

The first stage of the demographic transition exhibits
A. high birth rates with high but fluctuating death rates.
B. declining birth rates with continuing high death rates.
C. low birth rates with continuing high death rates.
D. high birth rates with declining death rates.
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about high school geography.

What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?
A. Crude birth rate
B. Replacement level
C. Mortality rate
D. Total fertility rate
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about high school geography.

What is the most rapidly growing religion in the United States today?
A. Islam
B. Christianity
C. Hinduism
D. Buddhism
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about high school geography.

The outlying area serviced by a urban center is referred to as a
A. redline area.
B. threshold.
C. range.
D. hinterland.
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about high school geography.

The best definition of an urban area is
A. the central city and its developed areas.
B. the central city and its surrounding suburbs.
C. the central city and its hinterlands.
D. the central city and the adjacent counties.
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about high school geography.

Which of the following religions developed first?
A. Buddhism
B. Christianity
C. Islam
D. Hinduism
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about high school geography.

Which one of the following is NOT a characteristic of world cities?
A. World cities contain the headquarters of many transnational corporations.
B. World cities are well connected to secondary-level world cities.
C. World cities contain many offices of multinational organizations.
D. World cities are found only in the northern and western hemispheres.
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about high school geography.

Which type of transportation system created the star-shaped city pattern?
A. Highways to airports that link cities
B. Interstate highways that link cities
C. Beltways around cities
D. Streetcar and trolley lines extending from the CBD
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about high school geography.

In which urban US setting below would you expect to find planned communities?
A. Ghettos
B. Suburbs
C. CBDs
D. Transition zones
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about high school geography.

The latitude and longitude coordinates of a place are an example of
A. a formal region.
B. a functional region.
C. an absolute location.
D. a relative location.
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about high school geography.

The voluntary association of three or more countries willing to give up some measure of sovereignty is called
A. nationalism.
B. devolution.
C. supranationalism.
D. complementarity.
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about high school geography.

The key factor Thomas Malthus failed to recognize in his population theory was
A. population is limited by their means of subsistence.
B. all populations have the potential to increase more than the actual rate of increase.
C. wars and famine inhibit population's reproductive capacity.
D. technology's ability to raise the Earth's carrying capacity.
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about high school geography.

Which pair of religions are both universalizing religions?
A. Islam and Judaism
B. Judaism and Buddhism
C. Hinduism and Buddhism
D. Christianity and Buddhism
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about high school geography.

Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?
A. Concentric zone model
B. Central place model
C. Urban realms model
D. Sector model
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about high school geography.

When a country combines its religion with its government, it is called a
A. dictatorship.
B. theocracy.
C. democracy.
D. autocracy.
Answer:",mmlu,mmlu-23,Label.NONE
24,"The following are multiple choice questions (with answers) about high school geography.

What is the chief religion practiced in Europe?
A. Christianity
B. Islam
C. Hinduism
D. Animism
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about high school geography.

Which group enacted the first effective settlement in the eastern United States?
A. French
B. British (English, Scotch-Irish, Welsh, Scottish)
C. Russian
D. Chinese
Answer:",mmlu,mmlu-25,Label.NONE
26,"The following are multiple choice questions (with answers) about high school geography.

A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT
A. future social spending needs of the population.
B. the impact of ""baby booms"" on the population.
C. the impact of wars on the population.
D. a quick visual depiction of the country's demographics.
Answer:",mmlu,mmlu-26,Label.NONE
27,"The following are multiple choice questions (with answers) about high school geography.

The Rhine River is an example of which type of boundary?
A. Geometric
B. Artificial
C. Natural
D. Relict
Answer:",mmlu,mmlu-27,Label.NONE
28,"The following are multiple choice questions (with answers) about high school geography.

Which type of economic activity is most closely tied to the physical environment?
A. Primary
B. Secondary
C. Tertiary
D. Quaternary
Answer:",mmlu,mmlu-28,Label.NONE
29,"The following are multiple choice questions (with answers) about high school geography.

The majority of workers in periphery countries are probably employed in which type of activities?
A. Primary
B. Secondary
C. Tertiary
D. Quaternary
Answer:",mmlu,mmlu-29,Label.NONE
30,"The following are multiple choice questions (with answers) about high school geography.

All of the following are non-basic jobs in the city EXCEPT
A. city firefighter.
B. social worker.
C. dry cleaner.
D. garment factory worker.
Answer:",mmlu,mmlu-30,Label.NONE
