,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about high school macroeconomics.

Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens
A. II III and IV only
B. I and III only
C. II and IV only
D. III and IV only
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about high school macroeconomics.

When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?
A. The price level rises but real GDP falls.
B. Both the price level and real GDP rise.
C. The price level rises but the change in real GDP is uncertain.
D. Real GDP rises but the change in the price level is uncertain.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about high school macroeconomics.

Tariffs and quotas
A. result in lower domestic prices.
B. sometimes raise and sometimes lower the amount of the product sold domestically.
C. lower the amount of the product sold domestically.
D. raise the amount of the product sold domestically.
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about high school macroeconomics.

A likely cause of falling Treasury bond prices might be
A. expansionary monetary policy.
B. contractionary monetary policy.
C. a depreciating dollar.
D. fiscal policy designed to reduce the budget deficit.
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about high school macroeconomics.

Households demand more money as an asset when
A. nominal GDP falls.
B. the nominal interest rate falls.
C. bond prices fall.
D. the supply of money falls.
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about high school macroeconomics.

Allocative efficiency
A. means that no inferior products will be produced.
B. implies that the economy's output is distributed evenly.
C. means that those who work hardest will get more.
D. implies that resources are used to produce the goods and services society desires in just the right amounts.
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about high school macroeconomics.

GDP measures
A. production within a nation's borders.
B. production by a nation's citizens wherever they may be.
C. income earned by the factors of production plus depreciation and indirect business taxes.
D. (A) and (C)
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about high school macroeconomics.

Every choice results in a foregone best alternative which economists call the
A. accounting cost
B. switching cost
C. inferior cost
D. opportunity cost
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about high school macroeconomics.

When a nation is operating at the natural rate of unemployment
A. there is no cyclical unemployment.
B. the inflation rate is zero.
C. there is no structural unemployment.
D. the nation is experiencing a recession.
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about high school macroeconomics.

If a country has a negative value on its current account then it must
A. pay that amount to its trading partners.
B. have a positive value of equal magnitude on its capital account.
C. depreciate its currency.
D. appreciate its currency.
Answer:",mmlu,mmlu-9,Label.NONE
