,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about high school psychology.

Delusions of grandeur are most characteristic of
A. OCD.
B. schizophrenia.
C. conversion disorder.
D. antisocial personality disorder.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about high school psychology.

Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?
A. Homeostatic regulation
B. Goal-setting
C. Expectancy-value
D. Hierarchy of needs
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about high school psychology.

In test construction and evaluation, validity refers to the degree to which a test
A. measures what it purports to measure
B. yields consistent results on successive administrations
C. has been piloted and statistically analyzed
D. includes norms based on a representative sample of the general population
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about high school psychology.

The precedent established in Larry P. v. Riles resulted in
A. the provision of a free, appropriate public education for students with disabilities
B. the provision of bilingual education for English-language learners
C. schools being held responsible for providing tests that do not discriminate on the basis of race
D. the assignment of similar funding to athletic activities for boys and girls
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about high school psychology.

The heritability for traits of a cloned population is
A. 0%
B. 25%
C. 50%
D. 75%
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about high school psychology.

Which of the following statistics provides the most information about how spread out a distribution of scores is?
A. variance
B. mean
C. range
D. median
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about high school psychology.

According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?
A. They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.
B. They should provide professional but not administrative supervision.
C. They are eligible to serve as supervisors after one year of experience as a school psychologist.
D. They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about high school psychology.

Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are
A. at the beginning of the list
B. in the middle of the list
C. at the end of the list
D. distributed throughout the list
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about high school psychology.

Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?
A. Piaget's cognitive development theory
B. Erikson's psychosocial stage theory
C. Kohlberg's moral development theory
D. Ainsworth's social attachment theory
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about high school psychology.

The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?
A. aptitude
B. projective
C. achievement
D. intelligence
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about high school psychology.

Our ability to perceive depth depends primarily on what other perceptual abilities?
A. proximity and similarity
B. top-down processing and bottom-up processing
C. binocular and monocular cues
D. size and shape constancy
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about high school psychology.

A person who sustains major injuries that involve the destruction of the medulla oblongata will
A. be paralyzed
B. fall into a coma
C. suffer severe speech impairment
D. die
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about high school psychology.

Which of the following terms applies to IQ tests?
A. achievement
B. standardized
C. projective
D. triarchic
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about high school psychology.

Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.
A. discrimination
B. spontaneous recovery
C. trace conditioning
D. generalization
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about high school psychology.

Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by
A. the mere-exposure effect.
B. self-serving bias.
C. equipotentiality.
D. the fundamental attribution error.
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about high school psychology.

All of the following are examples of punishment EXCEPT
A. grounding a teenager for staying out past curfew
B. spanking a child for misbehavior
C. permanently revoking the driving privileges of a third-time DWI driver
D. refusing to return the boss' phone call after not getting the expected raise
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about high school psychology.

Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?
A. Changes must be made in the delivery of the core program.
B. Students who are not meeting competencies must be given strategic or supplemental instruction.
C. Students must be given more time to develop competencies.
D. Students who are not meeting competencies must be evaluated for learning disabilities.
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about high school psychology.

Substances that are toxic to humans often taste
A. sour
B. sweet
C. salty
D. bitter
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about high school psychology.

All public institutions subscribe to all of the following ethical guidelines EXCEPT
A. avoiding unnecessary deception to humans
B. avoiding unnecessary pain to humans and other animals
C. avoiding use of animals when computers are available
D. protecting confidentiality
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about high school psychology.

Which of the following kinds of tests is most likely to be an achievement test?
A. an IQ test
B. a classroom test over a chapter in a textbook
C. an entrance exam for law school
D. a personality test based on the Big Five personality traits
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about high school psychology.

A fetus with the genotype XXY will most likely
A. result in a miscarriage.
B. suffer from sterility as an adult.
C. be color blind.
D. grow into a depressed adult.
Answer:",mmlu,mmlu-20,Label.NONE
