,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about management.

What is the term for the 'rule of thumb' type of bias in decision making?
A. Framing bias
B. Hindsight bias
C. Over-confidence bias
D. Heuristics
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about management.

What is a normative perspective?
A. The way things are.
B. The way things are going to be.
C. The way things should be.
D. The way things were.
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about management.

In the 'five forces model', what is the type of competitive activity that exists between organisations?
A. The potential for entry into the industry
B. The threat of substitute products
C. The power of customers
D. The level of rivalry
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about management.

Which one of the following political leaders could not be termed a 'transformational' leader?
A. Margaret Thatcher
B. Mikhail Gorbachov
C. Nelson Mandela
D. Bill Clinton
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about management.

What is a Gantt chart a type of?
A. Work flow design
B. Work schedule design
C. Work rate design
D. Work output design
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about management.

Which one of the following is a feature of McGregor's Theory X?
A. Workers enjoy responsibility.
B. Workers view physical and mental effort as a natural part of work.
C. Workers like to show initiative.
D. Workers like to be directed.
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about management.

What is the term for power derived from status or position in an organisation?
A. Referent
B. Expert
C. Reward
D. Legitimate
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about management.

Which writer is most associated with bureaucratic structures?
A. Henry Fayol
B. Max Weber
C. Adam Smith
D. Mary Parker Follett
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about management.

Who of the following is the industrial philanthropist?
A. Frederick Taylor
B. Seebohm Rowntree
C. Henry Ford
D. Max Weber
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about management.

Individualism as a guiding moral philosophy was advocated by which economist?
A. John Kenneth Galbraith
B. John Maynard Keynes
C. Milton Friedman
D. Alfred Marshall
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about management.

The Hawthorn Studies are most associated with which writer?
A. Mary Parker Follett
B. Elton Mayo
C. Lillian Gilbreth
D. Frederick Taylor
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about management.

How can you describe the thinking and outlook of transformational leaders?
A. Strategic
B. Operational
C. Functional
D. Developmental
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about management.

What are the key characteristics of transactional leaders?
A. Guiding, mentoring and motivating
B. Guiding, commanding and motivating
C. Guiding, demonstrating and motivating
D. Guiding, mentoring and demonstrating
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about management.

What is not an assumption underpinning the rational decision making model?
A. Incomplete information
B. An agreed goal
C. A structured problem
D. High level of certainty regarding the environment
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about management.

Which one of the following is not one of Drucker's five guiding principles of management?
A. Making people's strengths effective and their weaknesses irrelevant.
B. Enhancing the ability of people to contribute.
C. To operate the organisation's status system.
D. Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about management.

What is a paradigm?
A. A theoretical assumption
B. An illustration
C. A theoretical model
D. An example serving as a model
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about management.

What one of the following is not a key management skill in planning?
A. Conceptual skills
B. Analytical skills
C. IT and computing skills
D. Communication skills
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about management.

According to Belbin (1981) an extroverted and enthusiastic person fits with what role?
A. Co-ordinator
B. Shaper
C. Resource investigator
D. Implementer
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about management.

Which is not a recognised form of business continuity planning?
A. Contingency planning
B. Scenario planning
C. Financial planning
D. Building planning
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about management.

What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?
A. Opportunistic organisation
B. Enterprising organisation
C. International organisation
D. Agile organisation
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about management.

Which of these is not part of the recognised challenges for modern managers?
A. Micro-managing the workforce
B. Managing communications
C. Managing change
D. Managing the learning organisation
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about management.

To what does emotional intelligence refer?
A. How people view and understand the world.
B. How people view and understand themselves.
C. How people view and understand others.
D. How people view and understand themselves and others.
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about management.

Of what is individual freedom to schedule work an example?
A. Job design
B. Job enrichment
C. Job rate
D. Job planning
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about management.

What are workers primarily motivated by according to the instrumental approach?
A. Peer recognition
B. Promotion
C. Greater freedom
D. Economic reward
Answer:",mmlu,mmlu-23,Label.NONE
24,"The following are multiple choice questions (with answers) about management.

Which is not a characteristic of corporate social responsibility?
A. Product safety
B. Consumer rights
C. Environmental policies
D. Price-fixing
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about management.

Who was a major protagonist of utilitarianism?
A. John Stuart Mill
B. Thomas Hobbes
C. Karl Marx
D. Adam Smith
Answer:",mmlu,mmlu-25,Label.NONE
26,"The following are multiple choice questions (with answers) about management.

As what is ensuring that one individual does not carry the burden of a whole work task referred to?
A. Work specialisation
B. Work design
C. Work schedule
D. Work shift
Answer:",mmlu,mmlu-26,Label.NONE
27,"The following are multiple choice questions (with answers) about management.

How do you describe a work group that comprises workers with demarcated tasks and distant line managers?
A. Dependent
B. Independent
C. Interdependent
D. Collaborative
Answer:",mmlu,mmlu-27,Label.NONE
28,"The following are multiple choice questions (with answers) about management.

Specialisation is a feature of which organisational structure?
A. Matrix
B. Divisional
C. Multi-divisional
D. Functional
Answer:",mmlu,mmlu-28,Label.NONE
29,"The following are multiple choice questions (with answers) about management.

Which one is not an element in the primary activities of a value chain?
A. Procurement
B. Inbound logistics
C. Outbound logistics
D. Service
Answer:",mmlu,mmlu-29,Label.NONE
30,"The following are multiple choice questions (with answers) about management.

What is the term for the act of getting individuals to behave in ways that are acceptable to a group?
A. Indoctrination
B. Brainwashing
C. Propaganda
D. Socialisation
Answer:",mmlu,mmlu-30,Label.NONE
31,"The following are multiple choice questions (with answers) about management.

When does an acquisition take place?
A. Two equal partners decide to work together.
B. Two equal partners share resources.
C. Two unequal partners join together.
D. Two unequal partners become one after a buyout.
Answer:",mmlu,mmlu-31,Label.NONE
32,"The following are multiple choice questions (with answers) about management.

Who of these is the entrepreneur?
A. Barack Obama
B. James Dyson
C. Damien Hirst
D. Mo Farah
Answer:",mmlu,mmlu-32,Label.NONE
33,"The following are multiple choice questions (with answers) about management.

Which of these is not an advantage of a virtual team?
A. Team members can be recruited for their specific skills or experience.
B. No overhead costs associated with physical buildings.
C. Conflict can be resolved easily using face-to-face meetings.
D. Low transport or commuting costs.
Answer:",mmlu,mmlu-33,Label.NONE
34,"The following are multiple choice questions (with answers) about management.

What is the richest form of information?
A. Telephone
B. Face-to-face
C. E-mail
D. Video conference
Answer:",mmlu,mmlu-34,Label.NONE
35,"The following are multiple choice questions (with answers) about management.

What is the purpose of a 'quality circle'?
A. Bring together managers and workers to find improvements.
B. Bring together managers and workers to discuss output.
C. Bring together managers and workers to review quality of work.
D. Bring together managers and workers to review targets.
Answer:",mmlu,mmlu-35,Label.NONE
36,"The following are multiple choice questions (with answers) about management.

What is the guiding principle behind New Public Management?
A. Profit maximisation
B. Introducing private sector business principles into the public sector
C. Replacing public management with private sector management
D. Restructuring public organisations
Answer:",mmlu,mmlu-36,Label.NONE
37,"The following are multiple choice questions (with answers) about management.

Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?
A. Peter Drucker
B. Jay Barney
C. Michael Porter
D. Henry Mintzberg
Answer:",mmlu,mmlu-37,Label.NONE
38,"The following are multiple choice questions (with answers) about management.

Functional structures help to create...
A. teamwork
B. specialisation
C. project work groups
D. multi-skilled employees
Answer:",mmlu,mmlu-38,Label.NONE
39,"The following are multiple choice questions (with answers) about management.

What is a succession plan?
A. Dismissing an employee for a more favourable employee
B. A formal process of planning to fill a role that will become vacant
C. A vote of no confidence in a board member
D. The formal process of acquiring a new staff member
Answer:",mmlu,mmlu-39,Label.NONE
40,"The following are multiple choice questions (with answers) about management.

What is the definition of a scenario in scenario planning?
A. An imagined sequence of future events
B. An unpredictable event
C. A planned for event
D. An unplanned for event
Answer:",mmlu,mmlu-40,Label.NONE
41,"The following are multiple choice questions (with answers) about management.

What assumption is the garbage can model of decision making based on?
A. Limited knowledge and great insight
B. Limited knowledge but high level of experience
C. Limited knowledge and uncertainty
D. Limited knowledge and high risk
Answer:",mmlu,mmlu-41,Label.NONE
42,"The following are multiple choice questions (with answers) about management.

By which principle is utilitarianism defined?
A. Equality for everyone
B. Maximisation of outcomes for individuals
C. The best outcome for the majority of people
D. The least worst outcome for everybody
Answer:",mmlu,mmlu-42,Label.NONE
43,"The following are multiple choice questions (with answers) about management.

What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?
A. Group roles
B. Virtual teamwork
C. Synergy
D. Role making
Answer:",mmlu,mmlu-43,Label.NONE
44,"The following are multiple choice questions (with answers) about management.

What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?
A. Social plan
B. Social strategy
C. Social audit
D. Social account
Answer:",mmlu,mmlu-44,Label.NONE
45,"The following are multiple choice questions (with answers) about management.

What type of organisational culture is most likely to deliver stability and efficiency?
A. Task culture
B. Role culture
C. Power culture
D. People culture
Answer:",mmlu,mmlu-45,Label.NONE
46,"The following are multiple choice questions (with answers) about management.

Who of the following is a leading writer on contingency theory of leadership?
A. Rosabeth Kanter
B. Joan Woodward
C. Rensis Likert
D. Fred Fiedler
Answer:",mmlu,mmlu-46,Label.NONE
47,"The following are multiple choice questions (with answers) about management.

What are characteristics of a programmed decision?
A. Complex and risky
B. Uncertain and non-routine
C. Low risk and certain
D. Routine and non-complex
Answer:",mmlu,mmlu-47,Label.NONE
48,"The following are multiple choice questions (with answers) about management.

What is not an advantage of a hierarchical structure?
A. Clear chain of command
B. Quick response to change
C. Discipline and stability
D. Small span of control
Answer:",mmlu,mmlu-48,Label.NONE
49,"The following are multiple choice questions (with answers) about management.

What is a strategic alliance?
A. Any form of partnership between one firm and another
B. Formal agreement committing two or more firms to exchange resources to produce products or services
C. Formal agreement to share profits from a shared investment
D. Formal agreement to share knowledge
Answer:",mmlu,mmlu-49,Label.NONE
50,"The following are multiple choice questions (with answers) about management.

What are group norms?
A. Modes of behaviour that are acceptable to and shared by group members
B. Modes of behaviour that are shared by some members of the group
C. Modes of behaviour that challenge group values and beliefs
D. Modes of behaviour that are different of those of the other group members
Answer:",mmlu,mmlu-50,Label.NONE
51,"The following are multiple choice questions (with answers) about management.

Which of the following is not a recognised type of plan?
A. Business
B. Succession
C. Ad hoc
D. Financial
Answer:",mmlu,mmlu-51,Label.NONE
52,"The following are multiple choice questions (with answers) about management.

What is the term for the extent to which competition in one country is influenced by competition in other countries?
A. International trade
B. Global economics
C. Global competition
D. Globalisation
Answer:",mmlu,mmlu-52,Label.NONE
53,"The following are multiple choice questions (with answers) about management.

As what are key factors that reflect the situation of an organisation referred to?
A. Administrations
B. Processes
C. Activities
D. Contingencies
Answer:",mmlu,mmlu-53,Label.NONE
54,"The following are multiple choice questions (with answers) about management.

Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?
A. Expectations
B. Choice opportunities
C. Problems
D. Solutions
Answer:",mmlu,mmlu-54,Label.NONE
55,"The following are multiple choice questions (with answers) about management.

What does PEST stand for?
A. Political, environmental, strategic, testing
B. Political, environmental, strategic, technological
C. Political, economic, strategic, technological
D. Political, economic, social, technological
Answer:",mmlu,mmlu-55,Label.NONE
56,"The following are multiple choice questions (with answers) about management.

What does the acronym SMART stand for?
A. Suitable, measurable, actionable, rewarded and timely
B. Specific, measurable, actionable, resourced and timely
C. Standardised, measurable, achievable, rewarded, and timely
D. Specific, measurable, achievable, rewarded and timely
Answer:",mmlu,mmlu-56,Label.NONE
57,"The following are multiple choice questions (with answers) about management.

Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?
A. Merton
B. Weber
C. Gouldner
D. Mayo
Answer:",mmlu,mmlu-57,Label.NONE
