,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about medical genetics.

Zinc finger proteins and helix-turn-helix proteins are
A. types of DNA-binding proteins
B. involved in the control of translation
C. components of ribosomes
D. part of the hemoglobin in blood cells
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about medical genetics.

If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?
A. 0.01
B. 0.001
C. 0.02
D. 0.0001
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about medical genetics.

In DNA adenine normally pairs with:
A. cytosine.
B. guanine.
C. thymine.
D. uracil.
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about medical genetics.

The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:
A. autosomal dominant.
B. autosomal recessive.
C. X-linked dominant.
D. X-linked recessive.
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about medical genetics.

Mapping of human chromosomes:
A. has been restricted to the sex chromosomes because of small family sizes
B. proceeded much more successfully as large numbers of DNA markers became available.
C. has determined that the number of linkage groups is about twice the number of chromosomes
D. has demonstrated that almost all of the DNA is involved in coding for genes
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about medical genetics.

Intergenerational transmission to offspring can occur as a result of parental exposures to ______.
A. war
B. natural disasters
C. hunger
D. all of these
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about medical genetics.

Asp235Phe in a molecular report indicates that:
A. asparagine has been replaced by phenylalanine.
B. phenylalanine has been replaced by asparagine.
C. aspartic acid has been replaced by phenylalanine.
D. phenylalanine has been replaced by aspartic acid.
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about medical genetics.

The risk of abnormality in the child of a mother with untreated phenylketonuria is:
A. 1%
B. 10%
C. 25%
D. Almost 100%
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about medical genetics.

Exon skipping is associated with:
A. nonsense mutations.
B. regulatory mutations.
C. RNA processing mutations.
D. silent mutations.
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following is not a chromosome instability syndrome?
A. Klinefelter syndrome
B. Ataxia telangiectasia
C. Fanconi anaemia
D. Bloom syndrome
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about medical genetics.

Normal adult haemoglobin (Hb A) consists of:
A. two α (alpha) and two β (beta) chains.
B. two α and two γ (gamma) chains.
C. two α and two δ (delta) chains.
D. four γ chains.
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about medical genetics.

In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?
A. Brother
B. Nephew
C. Grandchild
D. Aunt
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about medical genetics.

The mutation in sickle-cell disease consists of:
A. a deletion.
B. a duplication.
C. an insertion.
D. a point mutation.
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following is an example of monosomy?
A. 46,XX
B. 47,XXX
C. 69,XYY
D. 45,X
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about medical genetics.

QTL analysis is used to
A. identify chromosome regions associated with a complex trait in a genetic cross
B. determine which genes are expressed at a developmental stage
C. map genes in bacterial viruses
D. identify RNA polymerase binding sites
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about medical genetics.

What would be the frequency of AABBCC individuals from a mating of two AaBbCc individuals?
A. 1.0/64
B. 1.0/32
C. 1.0/128
D. 1.0/256
Answer:",mmlu,mmlu-15,Label.MATH
16,"The following are multiple choice questions (with answers) about medical genetics.

It is currently estimated that there are ______ human protein-coding genes although this estimate may be reduced over time.
A. 10,000–15,000
B. 19,000–20,000
C. 29,000–30,000
D. 100,000
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about medical genetics.

With which of the following relatives is an individual most likely to share a common HLA haplotype?
A. Father
B. Mother
C. Sister
D. Son
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following genes conveys susceptibility for polygenic Alzheimer disease?
A. APP
B. PS1
C. PS2
D. APOE
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about medical genetics.

The DiGeorge/Shprintzen syndrome is caused by a deletion in which chromosome?
A. 4
B. 7
C. 15
D. 22
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about medical genetics.

X-chromosome inactivation
A. results in genetically turning off one of the two X chromosomes in female mammals
B. takes place in humans so that the same X chromosome is inactive in all of the cells of a female
C. is the cause of the Y chromosome being genetically inactive
D. occurs in fruit flies but not in mammals
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about medical genetics.

The pattern of inheritance shown by glucose-6-phosphate dehydrogenase (G6PD) deficiency is:
A. autosomal dominant.
B. autosomal recessive.
C. X-linked dominant.
D. X-linked recessive.
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about medical genetics.

Homeobox sequences
A. are present in the genome of many animal species
B. are found in prokaryotes but not in eukaryotes
C. were identified as the integration sites for bacterial viruses
D. represent integration sites for transposable elements
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following karyotypes is diagnostic of Down syndrome
A. 46,XX,der(14;21)(q10;q10)pat+21
B. 47,XY,+13
C. 45,XX,rob,(14;21)(q10;q10)
D. 46,XY,t(2;3)(q21;q12)
Answer:",mmlu,mmlu-23,Label.NONE
24,"The following are multiple choice questions (with answers) about medical genetics.

Nature is more important for ______ differences, while nurture has greater influence on ______ differences.
A. structural and anatomical; psychological and social
B. psychological and social; structural and anatomical
C. structural and psychological; anatomical and social
D. social and anatomical; psychological and structural
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following would result in Angelman syndrome?
A. Maternal UPD 15
B. Paternal UPD 15
C. Deletion in the paternally derived chromosome 15
D. A mutation in the SNRPN promoter
Answer:",mmlu,mmlu-25,Label.NONE
26,"The following are multiple choice questions (with answers) about medical genetics.

Recombinant alpha-iduronidase is used for the treatment of which disease/syndrome?
A. Fabry disease
B. Gaucher disease
C. Hurler syndrome
D. Pompe disease
Answer:",mmlu,mmlu-26,Label.NONE
27,"The following are multiple choice questions (with answers) about medical genetics.

Research from Moshe Szyf and colleagues has provided significant findings on the epigenetic influences of prenatal maternal stress. This work has been labelled ______.
A. developmental epigenetics
B. social epigenetics
C. fetal epigenetics
D. maternal epigenetics
Answer:",mmlu,mmlu-27,Label.NONE
28,"The following are multiple choice questions (with answers) about medical genetics.

If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.
A. 1 in 4
B. 1 in 2
C. 2 in 3
D. 1
Answer:",mmlu,mmlu-28,Label.NONE
29,"The following are multiple choice questions (with answers) about medical genetics.

The mutational mechanism in δβ-thalassaemia consists of:
A. a deletion.
B. a duplication.
C. an insertion.
D. a point mutation.
Answer:",mmlu,mmlu-29,Label.NONE
30,"The following are multiple choice questions (with answers) about medical genetics.

Assuming Hardy-Weinberg equilibrium, the genoypte frequency of heterozygotes, if the frequency of the two alleles at the gene being studied are 0.6 and 0.4, will be:
A. 0.8
B. 0.64
C. 0.48
D. 0.32
Answer:",mmlu,mmlu-30,Label.NONE
31,"The following are multiple choice questions (with answers) about medical genetics.

Familial hypercholesterolaemia is caused by mutations in the gene which encodes what?
A. High density lipoprotein
B. HMG-CoA reductase
C. Low density lipoprotein
D. Low density lipoprotein receptor
Answer:",mmlu,mmlu-31,Label.NONE
32,"The following are multiple choice questions (with answers) about medical genetics.

A cross between two true breeding lines one with dark blue flowers and one with bright white flowers produces F1 offspring that are light blue. When the F1 progeny are selfed a 1:2:1 ratio of dark blue to light blue to white flowers is observed. What genetic phenomenon is consistent with these results?
A. epistasis
B. incomplete dominance
C. codominance
D. inbreeding depression
Answer:",mmlu,mmlu-32,Label.NONE
33,"The following are multiple choice questions (with answers) about medical genetics.

The proportion of babies that have an abnormality identifiable at birth is _____.
A. 1 in 10
B. 1 in 40
C. 1 in 100
D. 1 in 500
Answer:",mmlu,mmlu-33,Label.NONE
34,"The following are multiple choice questions (with answers) about medical genetics.

______ explained genetic disorders such as alkaptonuria and albinism.
A. Recessive inheritance has
B. Dominant genes have
C. X chromosomes
D. Y chromosomes
Answer:",mmlu,mmlu-34,Label.NONE
35,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following conditions shows anticipation in paternal transmission?
A. Huntington disease
B. Marfan syndrome
C. Cystic fibrosis
D. Fragile X syndrome
Answer:",mmlu,mmlu-35,Label.NONE
36,"The following are multiple choice questions (with answers) about medical genetics.

A homeotic mutation is one which
A. is present in only one form in an individual
B. substitutes one body part for another in development
C. results in development of a tumor
D. is wild type at one temperature and abnormal at another
Answer:",mmlu,mmlu-36,Label.NONE
37,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following is not a familial cancer syndrome
A. Familial adenomatous polyposis
B. Li-Fraumeni syndrome
C. Von Hippel-Lindau syndrome
D. Waardenburg syndrome
Answer:",mmlu,mmlu-37,Label.NONE
38,"The following are multiple choice questions (with answers) about medical genetics.

The epigenetic inheritance system has been described as ______ (Mayr and Provine, 1980).
A. genotype inheritance
B. soft inheritance
C. RNA inheritance
D. hard inheritance
Answer:",mmlu,mmlu-38,Label.NONE
39,"The following are multiple choice questions (with answers) about medical genetics.

Severe anaemia at birth is a feature of what?
A. Alpha-thalassaemia
B. Beta-thalassaemia
C. Hereditary persistence of fetal haemoglobin
D. Sickle cell disease
Answer:",mmlu,mmlu-39,Label.NONE
40,"The following are multiple choice questions (with answers) about medical genetics.

If an X-linked recessive disorder is in Hardy-Weinberg equilibrium and the incidence in males equals 1 in 100, then the expected incidence of affected homozygous females would be _______.
A. 1 in 1000
B. 1 in 4000
C. 1 in 10 000
D. 1 in 40 000
Answer:",mmlu,mmlu-40,Label.NONE
41,"The following are multiple choice questions (with answers) about medical genetics.

Tay-Sachs disease is caused by deficiency of _________________?
A. Alpha-L-iduronidase
B. Glucose-6-phosphatase
C. Hexosaminidase A
D. Homogentisic acid oxidase
Answer:",mmlu,mmlu-41,Label.NONE
42,"The following are multiple choice questions (with answers) about medical genetics.

A nonsense mutation involves:
A. a regulatory sequence.
B. an AG splice acceptor site.
C. the creation of a different amino acid.
D. the creation of a stop codon.
Answer:",mmlu,mmlu-42,Label.NONE
43,"The following are multiple choice questions (with answers) about medical genetics.

The polymerase chain reaction or PCR is a technique that
A. was used to demonstrate DNA as the genetic material
B. is used to determine the content of minerals in a soil sample
C. uses short DNA primers and a thermostable DNA polymerase to replicate specific DNA sequences in vitro.
D. measures the ribosome transfer rate during translation
Answer:",mmlu,mmlu-43,Label.NONE
44,"The following are multiple choice questions (with answers) about medical genetics.

The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?
A. Down syndrome
B. Exomphalos
C. Neural tube defects
D. Twin pregnancies
Answer:",mmlu,mmlu-44,Label.NONE
45,"The following are multiple choice questions (with answers) about medical genetics.

______ has been described as the phenomenon by which one genotype can give rise to a range of different physiological or morphological states in response to different environmental conditions during development (West-Eberhard, 1989).
A. Fetal plasticity
B. The fetal origins hypothesis
C. Developmental plasticity
D. Environmental plasticity
Answer:",mmlu,mmlu-45,Label.NONE
46,"The following are multiple choice questions (with answers) about medical genetics.

Arabidopsis is advantageous for plant genetic research because:
A. it is commercially important as a food crop
B. it is an endangered species
C. it is the closest to humans of any existing plant
D. it is a small plant with a small genome size which can be raised inexpensively
Answer:",mmlu,mmlu-46,Label.NONE
47,"The following are multiple choice questions (with answers) about medical genetics.

The proportion of genes shared by first cousins is on average ___.
A. 1.0/2
B. 1.0/4
C. 1.0/8
D. 1.0/16
Answer:",mmlu,mmlu-47,Label.MATH
48,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following is not a tumour suppressor gene?
A. APC
B. NF1
C. RB1
D. RET
Answer:",mmlu,mmlu-48,Label.NONE
49,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following is a feature of X-linked dominant inheritance?
A. Parental consanguinity
B. Male to male transmission
C. Transmission only by females
D. Transmitted by males only to females
Answer:",mmlu,mmlu-49,Label.NONE
50,"The following are multiple choice questions (with answers) about medical genetics.

On average, how many fragments would a restriction enzyme which recognizes a specific 4 base sequence in DNA be expected to cleave a double-stranded bacteriophage with a genome size of 5,000 bp into?
A. about 2
B. about 4
C. about 20
D. about 50
Answer:",mmlu,mmlu-50,Label.NONE
51,"The following are multiple choice questions (with answers) about medical genetics.

Positional cloning refers to
A. using a selection procedure to clone a cDNA
B. cloning a portion of a gene using PCR
C. isolating a gene by PCR using primers from another species
D. mapping a gene to a chromosomal region and then identifying and cloning a genomic copy of the gene from the region
Answer:",mmlu,mmlu-51,Label.NONE
52,"The following are multiple choice questions (with answers) about medical genetics.

Plasmid vectors for cloning
A. can generally accommodate larger inserts than phage vectors can
B. grow within bacteria, and are present in bacterial colonies on an agar plate
C. can accommodate inserts of over 100 kilobases
D. include centromeres to allow propagation in yeast
Answer:",mmlu,mmlu-52,Label.NONE
53,"The following are multiple choice questions (with answers) about medical genetics.

Transcriptional activator proteins
A. bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene
B. bind to ribosomes to activate the production of specific proteins
C. are produced during an infection of bacteria by a phage
D. are essential to function of transfer RNAs during translation
Answer:",mmlu,mmlu-53,Label.NONE
54,"The following are multiple choice questions (with answers) about medical genetics.

Assuming that the level of glucose is low, a mutation in the repressor associated with the lac operon of E. coli which prevents binding of the repressor to lactose should result in: 
A. constitutive expression of the lac operon genes
B. lack of expression or reduced expression of the lac operon genes under all circumstances
C. expression of the genes only when lactose is present
D. expression of the genes only when lactose is absent
Answer:",mmlu,mmlu-54,Label.NONE
55,"The following are multiple choice questions (with answers) about medical genetics.

In meiosis, recombination occurs in:
A. Metaphase I.
B. Prophase I.
C. Metaphase II.
D. Prophase II.
Answer:",mmlu,mmlu-55,Label.NONE
56,"The following are multiple choice questions (with answers) about medical genetics.

Leber's hereditary optic atrophy is caused by a mutation in:
A. chromosome 12.
B. chromosome 18.
C. chromosome 21.
D. mitochondrial DNA.
Answer:",mmlu,mmlu-56,Label.NONE
57,"The following are multiple choice questions (with answers) about medical genetics.

Regarding exons, which, if any, of the following statements is correct?
A. Some exons in protein-coding genes consist of noncoding DNA.
B. The first exon of a protein-coding gene always contains the translational start site.
C. The last exon of a protein-coding gene always contains the normal termination codon.
D. A coding exon is always translated in just one of the three possible forward reading frames.
Answer:",mmlu,mmlu-57,Label.NONE
58,"The following are multiple choice questions (with answers) about medical genetics.

In humans, each cell normally contains ______ of chromosomes.
A. 11 pairs
B. 23 pairs
C. 32 pairs
D. 46 pairs
Answer:",mmlu,mmlu-58,Label.NONE
59,"The following are multiple choice questions (with answers) about medical genetics.

An increase in the inbreeding coefficient, F, is likely to result in:
A. reduced likelihood of heterozygotes being present in a population
B. higher proportion of genes that show linkage
C. higher proportion of genes with introns
D. higher level of difference between RNA molecules in two daughter cells
Answer:",mmlu,mmlu-59,Label.NONE
60,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following findings on prenatal ultrasound examination would not raise suspicion of a chromosome abnormality?
A. Duodenal atresia
B. Holoprosencephaly
C. Hydrops fetalis
D. Monozygotic twins
Answer:",mmlu,mmlu-60,Label.NONE
61,"The following are multiple choice questions (with answers) about medical genetics.

The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:
A. 0.4
B. 0.32
C. 0.08
D. 0.02
Answer:",mmlu,mmlu-61,Label.NONE
62,"The following are multiple choice questions (with answers) about medical genetics.

An Hfr strain of E. coli contains:
A. a vector of yeast or bacterial origin which is used to make many copies of a particular DNA sequence
B. a bacterial chromosome with a human gene inserted
C. a bacterial chromosome with the F factor inserted
D. a human chromosome with a transposable element inserted
Answer:",mmlu,mmlu-62,Label.NONE
63,"The following are multiple choice questions (with answers) about medical genetics.

Male to male transmission is a key feature of which pattern of inheritance?
A. Autosomal dominant
B. Autosomal recessive
C. X-linked dominant
D. X-linked recessive
Answer:",mmlu,mmlu-63,Label.NONE
64,"The following are multiple choice questions (with answers) about medical genetics.

Simple tandem repeat polymorphisms in humans are most useful for
A. solving criminal and paternity cases
B. reconstructing the relationships of humans and chimps.
C. estimating relationships of humans and Neanderthals
D. transferring disease resistance factors into bone marrow cells
Answer:",mmlu,mmlu-64,Label.NONE
65,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following disorders is not suitable for population carrier screening?
A. Cystic fibrosis
B. Oculocutaneous albinism
C. Sickle cell disease
D. Tay-Sachs disease
Answer:",mmlu,mmlu-65,Label.NONE
66,"The following are multiple choice questions (with answers) about medical genetics.

Which of the following disorders does not show X-linked inheritance?
A. Duchenne muscular dystrophy
B. Tay-Sachs disease
C. Haemophilia A
D. Haemophilia B
Answer:",mmlu,mmlu-66,Label.NONE
67,"The following are multiple choice questions (with answers) about medical genetics.

The most common chromosome abnormality in first trimester spontaneous miscarriages is:
A. trisomy.
B. monosomy.
C. triploidy.
D. tetrasomy.
Answer:",mmlu,mmlu-67,Label.NONE
