,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about public relations.

You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?
A. Quickly investigate to make certain your product is definitely the cause of the illness.
B. Stop all sales of the product throughout the nation and issue a recall for that product.
C. Stop sales of the product in the Albany, New York, market and issue a recall for that product.
D. Issue a press release to the Albany, New York, market explaining how to treat the symptoms.
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about public relations.

In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.
A. community relations
B. consumer relations
C. employee relations
D. public issues
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about public relations.

In what year did the BBC start broadcasting radio?
A. 1917
B. 1922
C. 1925
D. 1927
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about public relations.

________ advertising campaigns are focused on gathering support for a particular message or cause.
A. Product-oriented
B. Person-oriented
C. Idea-oriented
D. Message-oriented
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about public relations.

Why should a successful public relations counselor continually review present and future realities for an organization?
A. to develop a vision statement
B. to interpret trends for management
C. to interpret the organization's business plan
D. to consider the role public relations might play
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about public relations.

Which of these definitions best describes the 'spiral of silence'?
A. When victims of abuse remain silent about the abuse
B. When people hide their opinions if they do not agree with the majority
C. When people hide their opinions if they are in disagreement with their close peers or family members
D. When public relations uses opinion poll results to generate support for a particular issue
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about public relations.

What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?
A. Research and evaluation
B. Strategy and evaluation
C. Strategy and implementation
D. Objectives and implementation
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about public relations.

At which stage in the planning process are the objectives decided on?
A. Defining the program
B. Planning the program
C. Taking action and implementing ideas
D. Evaluation of the program
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about public relations.

Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?
A. ingratiation
B. downplaying
C. distancing
D. nonexistence
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about public relations.

How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?
A. It hasn't
B. Doubled
C. Tripled
D. Quadrupled
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about public relations.

Which statement is NOT true of both issues management and crisis management?
A. They both require research monitoring.
B. They both deal with acute risks.
C. New organizational practices are developed as a result of each.
D. Both have the potential to damage an organisation's reputation.
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about public relations.

In what year did the BBC start broadcasting radio?
A. 1917
B. 1922
C. 1925
D. 1927
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about public relations.

How many regional newspapers are there in the UK?
A. 270
B. 600
C. 2,800
D. 5,200
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about public relations.

According to Esman (1972), which publics are related to the organisation through shared industrial interests?
A. Enabling
B. Functional
C. Normative
D. Diffused
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about public relations.

Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?
A. Audiences are more vulnerable and passive than ever before.
B. Television viewing, in particular, creates increased activity in the right hemisphere of the brain.
C. Active receivers are not uniformly affected by mass communication messages.
D. Technology has led to increasingly passive recipients at the ends of message transmission systems.
Answer:",mmlu,mmlu-14,Label.NONE
