,prompt,source,prompt_id,prediction
0,"The following are multiple choice questions (with answers) about sociology.

The ecological approach to urban sociology involved studying:
A. how social groups colonized different areas of the city and competed for resources
B. the forms of wildlife and natural habitats that could be found on the edges of the city
C. the way in which people organized collective protests about environmental issues
D. how men and women used the city's public spaces differently
Answer:",mmlu,mmlu-0,Label.NONE
1,"The following are multiple choice questions (with answers) about sociology.

Becker proclaimed that cannabis use was:
A. increasing throughout all sections of youth in the 1970s
B. learned gradually through the social processes of a deviant career
C. a dangerous pastime that young people should not be allowed to pursue
D. not as enjoyable as other sociologists had suggested
Answer:",mmlu,mmlu-1,Label.NONE
2,"The following are multiple choice questions (with answers) about sociology.

The middle classes that developed over the nineteenth century were:
A. an urban set, involved in civic bodies and voluntary associations
B. too diverse to have a strong sense of class consciousness
C. often involved in 'white collar' work
D. all of the above
Answer:",mmlu,mmlu-2,Label.NONE
3,"The following are multiple choice questions (with answers) about sociology.

Technological forms of surveillance have made it easier to:
A. access and exchange 'private' information about consumers
B. reduce prison overcrowding by the use of electronic tagging
C. monitor employees' activities at work
D. all of the above
Answer:",mmlu,mmlu-3,Label.NONE
4,"The following are multiple choice questions (with answers) about sociology.

The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
A. organic solidarity
B. mechanical solidarity
C. gesellschaft
D. anomie
Answer:",mmlu,mmlu-4,Label.NONE
5,"The following are multiple choice questions (with answers) about sociology.

There was a growth in income inequality in the 1980s because:
A. rates of income tax increased equally for all occupational groups
B. there were more professional jobs available but not enough people to fill them
C. the price of consumer goods rose at a higher rate than earnings
D. growing unemployment made more people dependent on welfare benefits
Answer:",mmlu,mmlu-5,Label.NONE
6,"The following are multiple choice questions (with answers) about sociology.

If a deviant act is 'normalized', it is:
A. recognised as breaking an important norm of behaviour
B. seen a temporary aberration from an otherwise 'normal' character
C. the first step in establishing a deviant career
D. attributed to the person's genetic or anatomical make up
Answer:",mmlu,mmlu-6,Label.NONE
7,"The following are multiple choice questions (with answers) about sociology.

In the debate about the 'managerial revolution', John Scott (1997) argued that:
A. owners still exercised control through groups of shareholders and interlocking directorships
B. ownership and management were becoming increasingly separate functions
C. the techniques of scientific management were overly bureaucratic and inefficient
D. managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses
Answer:",mmlu,mmlu-7,Label.NONE
8,"The following are multiple choice questions (with answers) about sociology.

Marxist feminists explain patriarchy in terms of:
A. a lack of equal rights and opportunities for men and women
B. sex classes, through which men oppress women economically, politically and sexually
C. women's domestic labour being exploited by the capitalist economy
D. the dual systems of capitalism and male domination
Answer:",mmlu,mmlu-8,Label.NONE
9,"The following are multiple choice questions (with answers) about sociology.

Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
A. the democratization of the family
B. putting an end to privatization
C. positive welfare: 'a hand up, not a hand-out'
D. the strengthening of civil society
Answer:",mmlu,mmlu-9,Label.NONE
10,"The following are multiple choice questions (with answers) about sociology.

Anti-psychiatrists like Laing & Esterson believed that:
A. Psychiatry was an out-moded form of treatment and should be replaced by alternative therapies like aromatherapy and kinesiology
B. Mental illnesses were biological in origin, so there was no point in studying 'the mind' as experienced by the patient
C. Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients
D. Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction
Answer:",mmlu,mmlu-10,Label.NONE
11,"The following are multiple choice questions (with answers) about sociology.

Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
A. socialization into working class families and communities
B. rational calculation of self-interest
C. issue-based concerns about culture and lifestyle
D. false consciousness and the acceptance of hegemonic values
Answer:",mmlu,mmlu-11,Label.NONE
12,"The following are multiple choice questions (with answers) about sociology.

In contemporary societies, social institutions are:
A. highly specialized, interrelated sets of social practices
B. disorganized social relations in a postmodern world
C. virtual communities in cyberspace
D. no longer relevant to sociology
Answer:",mmlu,mmlu-12,Label.NONE
13,"The following are multiple choice questions (with answers) about sociology.

The term 'emotion work' (Hochschild 1983) refers to:
A. the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction
B. the work done by psychologists, counselors and therapists to help clients with mental and emotional problems
C. experiences such as grieving and falling in love, which demand a lot of emotional energy from a person
D. the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities
Answer:",mmlu,mmlu-13,Label.NONE
14,"The following are multiple choice questions (with answers) about sociology.

When sociologists study the structure of layers in society and people's movement between them, they call this:
A. social stratification
B. social control
C. social conflict
D. social solidarity
Answer:",mmlu,mmlu-14,Label.NONE
15,"The following are multiple choice questions (with answers) about sociology.

The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and...
A. affectual
B. affective
C. effective
D. infected
Answer:",mmlu,mmlu-15,Label.NONE
16,"The following are multiple choice questions (with answers) about sociology.

An ecclesia is:
A. a religious organization that claims total spiritual authority over its members
B. a church organized around voluntary rather than compulsory membership
C. a sect or cult with a very small following
D. a hierarchy of priests or other spiritual leaders
Answer:",mmlu,mmlu-16,Label.NONE
17,"The following are multiple choice questions (with answers) about sociology.

After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:
A. assimilation
B. adaptation
C. discrimination
D. compensation
Answer:",mmlu,mmlu-17,Label.NONE
18,"The following are multiple choice questions (with answers) about sociology.

Sutherland's study of the 'professional thief' suggested that:
A. people are socialized into a life of crime by associating with others who define it in positive terms
B. the majority of crime is committed by middle class people in professional occupations
C. those who were arrested and charged with theft did not define themselves as thieves
D. the most dangerous criminals on the street were those who were highly skilled thieves
Answer:",mmlu,mmlu-18,Label.NONE
19,"The following are multiple choice questions (with answers) about sociology.

Which of the following policies did the New Labour government not pursue?
A. setting and streaming pupils by ability
B. parental choice of school
C. supporting LEAs that appeared to be failing
D. state regulation and control of the curriculum
Answer:",mmlu,mmlu-19,Label.NONE
20,"The following are multiple choice questions (with answers) about sociology.

Stone's research suggests that prior to industrialization, the nuclear family:
A. did not exist in any form
B. had begun to disappear, as extended networks of kin became more important
C. had begun to emerge through the separation of work and home life
D. was simply another institution of patriarchal control
Answer:",mmlu,mmlu-20,Label.NONE
21,"The following are multiple choice questions (with answers) about sociology.

Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?
A. It includes only the 10 largest cities in the United States.
B. It is composed of at least one central city with a population of at least 50,000 and it surrounds densely urbanized counties.
C. It is an area that experiences strong storms at least 50 percent of the year.
D. It is a large city with a population of at least 1 million and is immediately surrounded by suburbs.
Answer:",mmlu,mmlu-21,Label.NONE
22,"The following are multiple choice questions (with answers) about sociology.

Mosca and Pareto identified the ruling elite as:
A. a minority group who fill all the top positions of political authority
B. a coalition of social forces with specific skills and abilities
C. a group who circulate between high status positions and exclude others
D. all of the above
Answer:",mmlu,mmlu-22,Label.NONE
23,"The following are multiple choice questions (with answers) about sociology.

Bourdieu attributed the reproduction of class to:
A. cults of the capital
B. capital culture
C. cultural capital
D. culpable capture
Answer:",mmlu,mmlu-23,Label.NONE
24,"The following are multiple choice questions (with answers) about sociology.

Secularization involves the two related ideas of:
A. disappointment and disproportion
B. disbelief and disintegration
C. disengagement and disenchantment
D. distribution and distillation
Answer:",mmlu,mmlu-24,Label.NONE
25,"The following are multiple choice questions (with answers) about sociology.

The general fertility rate fell between 1964 and 2000 because of:
A. increases in the age of marriage and the age at which childbearing begins
B. there being fewer women of childbearing age than there were in the first half of the century
C. errors in the measurement of birth rates and production of statistics
D. the risk of diseases caused by poverty, poor housing and bad sanitation
Answer:",mmlu,mmlu-25,Label.NONE
26,"The following are multiple choice questions (with answers) about sociology.

Howard's idea of the garden city consisted of:
A. six small towns surrounded by green belts and linked to a larger central city
B. planning cities to have plenty of trees, flowers and public gardens
C. each privately owned house to have its own front and back garden
D. tower blocks to displace the population vertically and leave most of the land available as green open spaces
Answer:",mmlu,mmlu-26,Label.NONE
27,"The following are multiple choice questions (with answers) about sociology.

The 'third age' of the life course is said to involve:
A. active non-work and independence after retirement
B. full time employment, family-building and adult responsibility
C. illness, isolation and increasing dependence on others
D. the transition from education to work, and distinctive youth cultures
Answer:",mmlu,mmlu-27,Label.NONE
28,"The following are multiple choice questions (with answers) about sociology.

Weber (1919) said that the state's monopoly of the use of force was legitimated by:
A. charismatic authority
B. rational-legal authority
C. traditional authority
D. value-rational authority
Answer:",mmlu,mmlu-28,Label.NONE
29,"The following are multiple choice questions (with answers) about sociology.

Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
A. they had rediscovered themselves as 'new men'
B. their wives were at home and nagged them all the time
C. exciting gadgets like the hoover and electric iron were invented
D. they were unemployed or both partners worked full time
Answer:",mmlu,mmlu-29,Label.NONE
30,"The following are multiple choice questions (with answers) about sociology.

The shift from custodial to joint parenthood after divorce means that:
A. fathers are more likely to be absent from their children's lives
B. one parent has total responsibility for the child's welfare and socialization
C. both parents are expected to co-operate in the continued care of their children
D. parents must provide for all of their children in equal measure
Answer:",mmlu,mmlu-30,Label.NONE
31,"The following are multiple choice questions (with answers) about sociology.

Émile Durkheim believed the primary focus of sociology should be which of the following?
A. Social action
B. Social facts
C. Class relations
D. Cultural dynamics
Answer:",mmlu,mmlu-31,Label.NONE
32,"The following are multiple choice questions (with answers) about sociology.

The term ""sociology"" was coined in the early 1800s by which of the following?
A. Auguste Comte
B. Robert K. Merton
C. Karl Marx
D. Emile Durkheim
Answer:",mmlu,mmlu-32,Label.NONE
33,"The following are multiple choice questions (with answers) about sociology.

In their study of depression, Brown & Harris (1978) found that:
A. women's susceptibility to stress depended on their levels of social support
B. self-reported depression is highest amongst men and the relatively affluent
C. men and women have fairly similar levels of diagnosed depression
D. men are more vulnerable to depression because of conventional gender roles
Answer:",mmlu,mmlu-33,Label.NONE
34,"The following are multiple choice questions (with answers) about sociology.

The alternative form of 'network organization' means that:
A. work can be subcontracted out to independent suppliers and retailers
B. business transactions occur only through electronic communication
C. the Japanese model is applied, through lateral networks of flexible roles
D. activities are redistributed equally between men and women
Answer:",mmlu,mmlu-34,Label.NONE
35,"The following are multiple choice questions (with answers) about sociology.

Margaret Mead suggested that:
A. adolescence and gender roles varied between societies and so were culturally determined
B. gender roles in three New Guinea societies were identical and so must be biologically determined
C. adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe
D. anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations
Answer:",mmlu,mmlu-35,Label.NONE
