{'loss': 11.5108, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}                                                                                                                                                    
{'loss': 11.5109, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.09}                                                                                                                                                   
{'loss': 12.6316, 'learning_rate': 2e-05, 'epoch': 0.13}                                                                                                                                                                    
{'loss': 15.7936, 'learning_rate': 1.9988673391830082e-05, 'epoch': 0.17}                                                                                                                                                   
{'loss': 13.9893, 'learning_rate': 1.9954719225730847e-05, 'epoch': 0.21}                                                                                                                                                   
{'loss': 12.6407, 'learning_rate': 1.989821441880933e-05, 'epoch': 0.26}                                                                                                                                                    
{'loss': 14.1724, 'learning_rate': 1.9819286972627066e-05, 'epoch': 0.3}                                                                                                                                                    
{'loss': 14.2501, 'learning_rate': 1.9718115683235418e-05, 'epoch': 0.34}                                                                                                                                                   
{'loss': 12.015, 'learning_rate': 1.9594929736144978e-05, 'epoch': 0.38}                                                                                                                                                    
{'loss': 13.0058, 'learning_rate': 1.9450008187146685e-05, 'epoch': 0.43}                                                                                                                                                   
{'loss': 8.5287, 'learning_rate': 1.9283679330160726e-05, 'epoch': 0.47}                                      
{'loss': 6.7685, 'learning_rate': 1.9096319953545186e-05, 'epoch': 0.51}                                      
{'loss': 6.1585, 'learning_rate': 1.8888354486549238e-05, 'epoch': 0.55}                                      
{'loss': 7.303, 'learning_rate': 1.866025403784439e-05, 'epoch': 0.6}                                         
{'loss': 5.5784, 'learning_rate': 1.8412535328311813e-05, 'epoch': 0.64}                                      
{'loss': 8.5304, 'learning_rate': 1.814575952050336e-05, 'epoch': 0.68}                                       
{'loss': 5.34, 'learning_rate': 1.7860530947427878e-05, 'epoch': 0.73}                                        
{'loss': 4.3775, 'learning_rate': 1.7557495743542586e-05, 'epoch': 0.77}                                      
{'loss': 4.1512, 'learning_rate': 1.72373403810507e-05, 'epoch': 0.81}                                        
{'loss': 4.0197, 'learning_rate': 1.6900790114821122e-05, 'epoch': 0.85}                                      
{'loss': 3.8213, 'learning_rate': 1.6548607339452853e-05, 'epoch': 0.9}                                       
{'loss': 3.6301, 'learning_rate': 1.6181589862206053e-05, 'epoch': 0.94}                                      
{'loss': 3.4528, 'learning_rate': 1.5800569095711983e-05, 'epoch': 0.98}                                      
